restaurantNumber,restaurantName,latitude,longitude
3284,1010 Midtown,33.783862,-84.383951
373,Ponce de Leon,33.773906,-84.363588
2125,Downtown Decatur,33.7753,-84.298718
3357,North Atherton PA,40.808596,-77.903727
809,Chapel Hill,35.911412,-79.059583
1329,Penn State Univ,40.79671,-77.857274
3004,Chapel Hill Eastgate,35.93608,-79.02405
1939,Chambersburg,39.940763,-77.628605
1249,Virginia Gateway,38.791386,-77.606985
994,Duke Medical,36.009121,-78.944674
1974,Gateway Terrace,35.953071,-78.992277
3133,North Durham,36.040179,-78.899276
1106,East Towne,43.13052,-89.305693
312,U of Wisconsin,43.075013,-89.396766
1539,Leesburg VA,39.113193,-77.536941
2841,Camp Creek,33.657308,-84.499326
2723,Bristow,38.732744,-77.54755
2204,Shorewood Hills,43.075823,-89.453834
1937,ATL Concourse D,33.64219,-84.429247
2806,Conyers,33.65119,-84.00914
1791,Durham Southpoint,35.90347,-78.941542
317,Manassas,38.797009,-77.517141
3459,West Towne,43.061433,-89.504902
781,Shoppes at Ryan Park,39.010768,-77.490978
2456,Shops at Belmont,39.067771,-77.485246
533,Middleton,43.075327,-89.528676
2788,Golden Mile,39.416203,-77.43779
1271,Dulles Airport,38.948654,-77.451919
3295,Dulles 28,39.00628,-77.43758
334,Chantilly,38.897516,-77.443503
3116,Commonwealth Centre,38.876211,-77.442502
332,Westview,39.374362,-77.412111
729,Liberia Ave,38.749204,-77.4489
1140,Centre Ridge,38.828222,-77.438218
777,Sterling,39.034621,-77.407092
1418,Frederick,39.44538,-77.397286
2246,Morrow Mt. Zion,33.562708,-84.324649
218,Fredericksburg,38.296485,-77.513437
3267,RTP Page Rd & Miami,35.876695,-78.850643
1270,Franklin Farm,38.907889,-77.40874
517,Herndon,38.963637,-77.399038
2455,Carter's Corner,38.343099,-77.494231
1234,Fair Lakes Center,38.857243,-77.394431
1109,Massaponax,38.231852,-77.502378
3001,Sugarland Crossing,39.015537,-77.374527
2396,Cowans Crossing,38.299265,-77.483694
285,Reston,38.954884,-77.366303
